Model,Run_Name,Elo,Win_Rate
deepseek-r1-0528,TicTacToe-v0_5x_CHEAP_MODELS_basic,1643.3741,0.6333
deepseek-r1-0528,TicTacToe-v0_5x_CHEAP_MODELS_chain_of_thought,1518.1427,0.2333
deepseek-r1-0528,TicTacToe-v0_5x_CHEAP_MODELS_few_shot,1461.9161,0.2667
deepseek-r1-0528,TicTacToe-v0_5x_CHEAP_MODELS_generated_knowledge,1558.8947,0.4000
deepseek-r1-0528,TicTacToe-v0_5x_CHEAP_MODELS_tree_of_thoughts,1525.4064,0.4000
gemini-2.5-flash,TicTacToe-v0_5x_CHEAP_MODELS_basic,1429.5079,0.2333
gemini-2.5-flash,TicTacToe-v0_5x_CHEAP_MODELS_chain_of_thought,1531.4239,0.4333
gemini-2.5-flash,TicTacToe-v0_5x_CHEAP_MODELS_few_shot,1427.0242,0.3333
gemini-2.5-flash,TicTacToe-v0_5x_CHEAP_MODELS_generated_knowledge,1503.8045,0.2333
gemini-2.5-flash,TicTacToe-v0_5x_CHEAP_MODELS_tree_of_thoughts,1553.7045,0.5000
gpt-4o-mini,TicTacToe-v0_5x_CHEAP_MODELS_basic,1412.0080,0.2333
gpt-4o-mini,TicTacToe-v0_5x_CHEAP_MODELS_chain_of_thought,1424.6737,0.2667
gpt-4o-mini,TicTacToe-v0_5x_CHEAP_MODELS_few_shot,1498.7098,0.3667
gpt-4o-mini,TicTacToe-v0_5x_CHEAP_MODELS_generated_knowledge,1449.3926,0.2333
gpt-4o-mini,TicTacToe-v0_5x_CHEAP_MODELS_tree_of_thoughts,1418.4586,0.2333
grok-3-mini,TicTacToe-v0_5x_CHEAP_MODELS_basic,1673.1574,0.7667
grok-3-mini,TicTacToe-v0_5x_CHEAP_MODELS_chain_of_thought,1530.8140,0.4000
grok-3-mini,TicTacToe-v0_5x_CHEAP_MODELS_few_shot,1656.5478,0.7333
grok-3-mini,TicTacToe-v0_5x_CHEAP_MODELS_generated_knowledge,1601.0727,0.5000
grok-3-mini,TicTacToe-v0_5x_CHEAP_MODELS_tree_of_thoughts,1527.4920,0.4000
kimi-k2,TicTacToe-v0_5x_CHEAP_MODELS_basic,1402.1641,0.3000
kimi-k2,TicTacToe-v0_5x_CHEAP_MODELS_chain_of_thought,1482.9804,0.2333
kimi-k2,TicTacToe-v0_5x_CHEAP_MODELS_few_shot,1465.4756,0.3000
kimi-k2,TicTacToe-v0_5x_CHEAP_MODELS_generated_knowledge,1425.0438,0.2000
kimi-k2,TicTacToe-v0_5x_CHEAP_MODELS_tree_of_thoughts,1471.1159,0.3000
llama-4-maverick,TicTacToe-v0_5x_CHEAP_MODELS_basic,1438.9623,0.3000
llama-4-maverick,TicTacToe-v0_5x_CHEAP_MODELS_chain_of_thought,1517.0691,0.3000
llama-4-maverick,TicTacToe-v0_5x_CHEAP_MODELS_few_shot,1484.6106,0.3333
llama-4-maverick,TicTacToe-v0_5x_CHEAP_MODELS_generated_knowledge,1446.0570,0.3000
llama-4-maverick,TicTacToe-v0_5x_CHEAP_MODELS_tree_of_thoughts,1498.6777,0.4000
qwen3-235b-a22b-2507,TicTacToe-v0_5x_CHEAP_MODELS_basic,1500.8262,0.4667
qwen3-235b-a22b-2507,TicTacToe-v0_5x_CHEAP_MODELS_chain_of_thought,1494.8962,0.4000
qwen3-235b-a22b-2507,TicTacToe-v0_5x_CHEAP_MODELS_few_shot,1505.7159,0.4000
qwen3-235b-a22b-2507,TicTacToe-v0_5x_CHEAP_MODELS_generated_knowledge,1515.7348,0.2667
qwen3-235b-a22b-2507,TicTacToe-v0_5x_CHEAP_MODELS_tree_of_thoughts,1505.1449,0.3333
