Model,Run_Name,Elo,Win_Rate
gemini-2.5-flash,Poker-v0_5x_CHEAP_MODELS_basic,1569.5442,0.6400
gemini-2.5-flash,Poker-v0_5x_CHEAP_MODELS_chain_of_thought,1429.2886,0.3600
gemini-2.5-flash,Poker-v0_5x_CHEAP_MODELS_few_shot,1573.2446,0.6400
gemini-2.5-flash,Poker-v0_5x_CHEAP_MODELS_generated_knowledge,1476.0578,0.4400
gemini-2.5-flash,Poker-v0_5x_CHEAP_MODELS_tree_of_thoughts,1494.9027,0.5200
gpt-4o-mini,Poker-v0_5x_CHEAP_MODELS_basic,1261.6982,0.0000
gpt-4o-mini,Poker-v0_5x_CHEAP_MODELS_chain_of_thought,1552.9106,0.6400
gpt-4o-mini,Poker-v0_5x_CHEAP_MODELS_few_shot,1581.5223,0.6400
gpt-4o-mini,Poker-v0_5x_CHEAP_MODELS_generated_knowledge,1516.6553,0.5600
gpt-4o-mini,Poker-v0_5x_CHEAP_MODELS_tree_of_thoughts,1585.5648,0.7200
grok-3-mini,Poker-v0_5x_CHEAP_MODELS_basic,1417.0258,0.3600
grok-3-mini,Poker-v0_5x_CHEAP_MODELS_chain_of_thought,1489.7679,0.4800
grok-3-mini,Poker-v0_5x_CHEAP_MODELS_few_shot,1372.2312,0.2400
grok-3-mini,Poker-v0_5x_CHEAP_MODELS_generated_knowledge,1412.2678,0.2800
grok-3-mini,Poker-v0_5x_CHEAP_MODELS_tree_of_thoughts,1314.6801,0.0800
kimi-k2,Poker-v0_5x_CHEAP_MODELS_basic,1537.0804,0.6000
kimi-k2,Poker-v0_5x_CHEAP_MODELS_chain_of_thought,1545.2521,0.6400
kimi-k2,Poker-v0_5x_CHEAP_MODELS_few_shot,1526.5097,0.5200
kimi-k2,Poker-v0_5x_CHEAP_MODELS_generated_knowledge,1495.0165,0.5200
kimi-k2,Poker-v0_5x_CHEAP_MODELS_tree_of_thoughts,1572.8119,0.6000
llama-4-maverick,Poker-v0_5x_CHEAP_MODELS_basic,1599.8095,0.6800
llama-4-maverick,Poker-v0_5x_CHEAP_MODELS_chain_of_thought,1457.5827,0.4000
llama-4-maverick,Poker-v0_5x_CHEAP_MODELS_few_shot,1593.1974,0.7600
llama-4-maverick,Poker-v0_5x_CHEAP_MODELS_generated_knowledge,1557.1642,0.6400
llama-4-maverick,Poker-v0_5x_CHEAP_MODELS_tree_of_thoughts,1492.5727,0.4800
qwen3-235b-a22b-2507,Poker-v0_5x_CHEAP_MODELS_basic,1614.8419,0.7200
qwen3-235b-a22b-2507,Poker-v0_5x_CHEAP_MODELS_chain_of_thought,1525.1981,0.4800
qwen3-235b-a22b-2507,Poker-v0_5x_CHEAP_MODELS_few_shot,1353.2949,0.2000
qwen3-235b-a22b-2507,Poker-v0_5x_CHEAP_MODELS_generated_knowledge,1542.8384,0.5600
qwen3-235b-a22b-2507,Poker-v0_5x_CHEAP_MODELS_tree_of_thoughts,1539.4678,0.6000
