Model,Run_Name,Elo,Win_Rate
chatgpt-4o-latest,KuhnPoker-v0-short_1x_FINAL_MODELS_basic_variant_1,1531.0994,0.6667
chatgpt-4o-latest,KuhnPoker-v0-short_1x_FINAL_MODELS_basic_variant_2,1585.6087,1.0000
chatgpt-4o-latest,KuhnPoker-v0-short_1x_FINAL_MODELS_basic_variant_3,1500.9406,0.5000
chatgpt-4o-latest,KuhnPoker-v0-short_1x_FINAL_MODELS_basic_variant_4,1502.7251,0.5000
chatgpt-4o-latest,KuhnPoker-v0-short_1x_FINAL_MODELS_basic_variant_5,1494.5479,0.5000
deepseek-r1,KuhnPoker-v0-short_1x_FINAL_MODELS_basic_variant_1,1476.5465,0.3333
deepseek-r1,KuhnPoker-v0-short_1x_FINAL_MODELS_basic_variant_2,1503.1332,0.5000
deepseek-r1,KuhnPoker-v0-short_1x_FINAL_MODELS_basic_variant_3,1497.8482,0.5000
deepseek-r1,KuhnPoker-v0-short_1x_FINAL_MODELS_basic_variant_4,1501.4595,0.5000
deepseek-r1,KuhnPoker-v0-short_1x_FINAL_MODELS_basic_variant_5,1557.1491,0.8333
gemini-2.5-flash,KuhnPoker-v0-short_1x_FINAL_MODELS_basic_variant_1,1466.4558,0.3333
gemini-2.5-flash,KuhnPoker-v0-short_1x_FINAL_MODELS_basic_variant_2,1503.0511,0.5000
gemini-2.5-flash,KuhnPoker-v0-short_1x_FINAL_MODELS_basic_variant_3,1554.3623,0.8333
gemini-2.5-flash,KuhnPoker-v0-short_1x_FINAL_MODELS_basic_variant_4,1442.1993,0.1667
gemini-2.5-flash,KuhnPoker-v0-short_1x_FINAL_MODELS_basic_variant_5,1470.2592,0.3333
grok-3-mini,KuhnPoker-v0-short_1x_FINAL_MODELS_basic_variant_1,1525.8544,0.6667
grok-3-mini,KuhnPoker-v0-short_1x_FINAL_MODELS_basic_variant_2,1494.6917,0.5000
grok-3-mini,KuhnPoker-v0-short_1x_FINAL_MODELS_basic_variant_3,1530.3190,0.6667
grok-3-mini,KuhnPoker-v0-short_1x_FINAL_MODELS_basic_variant_4,1525.4932,0.6667
grok-3-mini,KuhnPoker-v0-short_1x_FINAL_MODELS_basic_variant_5,1472.1324,0.3333
llama-4-maverick,KuhnPoker-v0-short_1x_FINAL_MODELS_basic_variant_1,1526.7095,0.6667
llama-4-maverick,KuhnPoker-v0-short_1x_FINAL_MODELS_basic_variant_2,1478.5426,0.3333
llama-4-maverick,KuhnPoker-v0-short_1x_FINAL_MODELS_basic_variant_3,1442.3553,0.1667
llama-4-maverick,KuhnPoker-v0-short_1x_FINAL_MODELS_basic_variant_4,1503.0761,0.5000
llama-4-maverick,KuhnPoker-v0-short_1x_FINAL_MODELS_basic_variant_5,1504.5567,0.5000
o3-mini,KuhnPoker-v0-short_1x_FINAL_MODELS_basic_variant_1,1442.8983,0.1667
o3-mini,KuhnPoker-v0-short_1x_FINAL_MODELS_basic_variant_2,1468.9553,0.3333
o3-mini,KuhnPoker-v0-short_1x_FINAL_MODELS_basic_variant_3,1529.0669,0.6667
o3-mini,KuhnPoker-v0-short_1x_FINAL_MODELS_basic_variant_4,1501.2716,0.5000
o3-mini,KuhnPoker-v0-short_1x_FINAL_MODELS_basic_variant_5,1498.6935,0.5000
qwen3-235b-a22b-2507,KuhnPoker-v0-short_1x_FINAL_MODELS_basic_variant_1,1530.4362,0.6667
qwen3-235b-a22b-2507,KuhnPoker-v0-short_1x_FINAL_MODELS_basic_variant_2,1466.0176,0.3333
qwen3-235b-a22b-2507,KuhnPoker-v0-short_1x_FINAL_MODELS_basic_variant_3,1445.1078,0.1667
qwen3-235b-a22b-2507,KuhnPoker-v0-short_1x_FINAL_MODELS_basic_variant_4,1523.7751,0.6667
qwen3-235b-a22b-2507,KuhnPoker-v0-short_1x_FINAL_MODELS_basic_variant_5,1502.6612,0.5000
