Model,Run_Name,Elo,Win_Rate
chatgpt-4o-latest,TicTacToe-v0_1x_FINAL_MODELS_GROK4_basic_variant_1,1471.0005,0.3333
chatgpt-4o-latest,TicTacToe-v0_1x_FINAL_MODELS_GROK4_basic_variant_2,1457.4958,0.1667
chatgpt-4o-latest,TicTacToe-v0_1x_FINAL_MODELS_GROK4_basic_variant_3,1454.0954,0.1667
chatgpt-4o-latest,TicTacToe-v0_1x_FINAL_MODELS_GROK4_basic_variant_4,1467.5057,0.1667
chatgpt-4o-latest,TicTacToe-v0_1x_FINAL_MODELS_GROK4_basic_variant_5,1499.2131,0.5000
deepseek-r1,TicTacToe-v0_1x_FINAL_MODELS_GROK4_basic_variant_1,1556.4858,0.6667
deepseek-r1,TicTacToe-v0_1x_FINAL_MODELS_GROK4_basic_variant_2,1540.5879,0.5000
deepseek-r1,TicTacToe-v0_1x_FINAL_MODELS_GROK4_basic_variant_3,1554.5121,0.6667
deepseek-r1,TicTacToe-v0_1x_FINAL_MODELS_GROK4_basic_variant_4,1526.6865,0.5000
deepseek-r1,TicTacToe-v0_1x_FINAL_MODELS_GROK4_basic_variant_5,1516.9963,0.5000
gemini-2.5-flash,TicTacToe-v0_1x_FINAL_MODELS_GROK4_basic_variant_1,1414.4659,0.0000
gemini-2.5-flash,TicTacToe-v0_1x_FINAL_MODELS_GROK4_basic_variant_2,1472.4027,0.1667
gemini-2.5-flash,TicTacToe-v0_1x_FINAL_MODELS_GROK4_basic_variant_3,1428.6219,0.0000
gemini-2.5-flash,TicTacToe-v0_1x_FINAL_MODELS_GROK4_basic_variant_4,1491.8038,0.3333
gemini-2.5-flash,TicTacToe-v0_1x_FINAL_MODELS_GROK4_basic_variant_5,1413.7084,0.0000
grok-4,TicTacToe-v0_1x_FINAL_MODELS_GROK4_basic_variant_1,1557.6980,0.6667
grok-4,TicTacToe-v0_1x_FINAL_MODELS_GROK4_basic_variant_2,1554.9895,0.6667
grok-4,TicTacToe-v0_1x_FINAL_MODELS_GROK4_basic_variant_3,1557.7163,0.6667
grok-4,TicTacToe-v0_1x_FINAL_MODELS_GROK4_basic_variant_4,1554.7486,0.6667
grok-4,TicTacToe-v0_1x_FINAL_MODELS_GROK4_basic_variant_5,1570.2965,0.8333
llama-4-maverick,TicTacToe-v0_1x_FINAL_MODELS_GROK4_basic_variant_1,1483.7813,0.3333
llama-4-maverick,TicTacToe-v0_1x_FINAL_MODELS_GROK4_basic_variant_2,1440.7241,0.0000
llama-4-maverick,TicTacToe-v0_1x_FINAL_MODELS_GROK4_basic_variant_3,1489.2992,0.3333
llama-4-maverick,TicTacToe-v0_1x_FINAL_MODELS_GROK4_basic_variant_4,1485.9219,0.1667
llama-4-maverick,TicTacToe-v0_1x_FINAL_MODELS_GROK4_basic_variant_5,1485.3796,0.3333
o3-mini,TicTacToe-v0_1x_FINAL_MODELS_GROK4_basic_variant_1,1543.8811,0.5000
o3-mini,TicTacToe-v0_1x_FINAL_MODELS_GROK4_basic_variant_2,1544.4042,0.5000
o3-mini,TicTacToe-v0_1x_FINAL_MODELS_GROK4_basic_variant_3,1527.1669,0.3333
o3-mini,TicTacToe-v0_1x_FINAL_MODELS_GROK4_basic_variant_4,1500.1445,0.1667
o3-mini,TicTacToe-v0_1x_FINAL_MODELS_GROK4_basic_variant_5,1543.1490,0.6667
qwen3-235b-a22b-2507,TicTacToe-v0_1x_FINAL_MODELS_GROK4_basic_variant_1,1472.6873,0.3333
qwen3-235b-a22b-2507,TicTacToe-v0_1x_FINAL_MODELS_GROK4_basic_variant_2,1489.3958,0.3333
qwen3-235b-a22b-2507,TicTacToe-v0_1x_FINAL_MODELS_GROK4_basic_variant_3,1488.5882,0.3333
qwen3-235b-a22b-2507,TicTacToe-v0_1x_FINAL_MODELS_GROK4_basic_variant_4,1473.1889,0.3333
qwen3-235b-a22b-2507,TicTacToe-v0_1x_FINAL_MODELS_GROK4_basic_variant_5,1471.2571,0.3333
