Model,Run_Name,Elo,Win_Rate
deepseek-r1-0528,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic,1709.6227,0.7167
deepseek-r1-0528,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic_variant_1,1703.4945,0.6833
deepseek-r1-0528,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic_variant_2,1774.5589,0.7000
deepseek-r1-0528,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic_variant_3,1709.9926,0.7000
deepseek-r1-0528,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic_variant_4,1707.8387,0.6500
deepseek-r1-0528,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic_variant_5,1682.8518,0.6500
gemini-2.5-flash,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic,1359.0041,0.1833
gemini-2.5-flash,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic_variant_1,1428.0895,0.2000
gemini-2.5-flash,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic_variant_2,1425.1939,0.2167
gemini-2.5-flash,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic_variant_3,1336.6871,0.1667
gemini-2.5-flash,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic_variant_4,1432.4378,0.2500
gemini-2.5-flash,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic_variant_5,1463.6011,0.2667
gpt-4o-mini,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic,1400.1580,0.3667
gpt-4o-mini,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic_variant_1,1333.0710,0.2000
gpt-4o-mini,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic_variant_2,1418.9502,0.3333
gpt-4o-mini,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic_variant_3,1416.2613,0.3000
gpt-4o-mini,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic_variant_4,1394.1448,0.2833
gpt-4o-mini,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic_variant_5,1445.2292,0.3167
grok-3-mini,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic,1608.4269,0.6167
grok-3-mini,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic_variant_1,1586.2859,0.5667
grok-3-mini,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic_variant_2,1574.2639,0.6333
grok-3-mini,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic_variant_3,1617.4223,0.6500
grok-3-mini,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic_variant_4,1675.9843,0.7000
grok-3-mini,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic_variant_5,1562.0645,0.4833
kimi-k2,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic,1521.0161,0.3500
kimi-k2,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic_variant_1,1472.1949,0.3333
kimi-k2,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic_variant_2,1478.7422,0.3167
kimi-k2,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic_variant_3,1437.3608,0.3000
kimi-k2,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic_variant_4,1432.5077,0.3167
kimi-k2,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic_variant_5,1449.8161,0.3000
llama-4-maverick,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic,1362.0977,0.2667
llama-4-maverick,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic_variant_1,1490.0211,0.4167
llama-4-maverick,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic_variant_2,1400.2283,0.3167
llama-4-maverick,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic_variant_3,1402.5335,0.3667
llama-4-maverick,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic_variant_4,1337.7279,0.3667
llama-4-maverick,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic_variant_5,1364.8697,0.3000
qwen3-235b-a22b-2507,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic,1539.6744,0.2333
qwen3-235b-a22b-2507,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic_variant_1,1486.8431,0.2000
qwen3-235b-a22b-2507,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic_variant_2,1428.0627,0.2167
qwen3-235b-a22b-2507,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic_variant_3,1579.7423,0.3667
qwen3-235b-a22b-2507,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic_variant_4,1519.3588,0.3333
qwen3-235b-a22b-2507,SimpleNegotiation-v0_10x_CHEAP_MODELS_basic_variant_5,1531.5676,0.3833
